sample_ID,Cu_324.754,Mn_257.610,Na_589.592,P_177.499,Zn_202.548
CI_tb_01_leaf,8.77,116,912,2290,16.2
CI_tb_02a_leaf,16.1,218,1650,9180,38.0
CI_tb_03_leaf,9.26,184,1560,2770,13.7
CI_tb_04_leaf,10.6,68.4,1620,2520,17.9
CI_tb_06_leaf,12.0,205,1520,3880,19.5
CI_tb_07_leaf,15.1,252,1370,2100,22.2
CI_tb_08_leaf,18.5,97.6,1480,4440,29.1
CI_tb_09_leaf,7.50,416,916,2720,17.2
CI_tb_10_leaf,8.75,66.7,1120,2350,16.3
CI_tb_11_leaf,9.65,153,1420,3330,21.3
CI_tb_12_leaf,11.9,266,1310,2130,22.4
CI_tb_13_leaf,12.9,124,1310,2080,22.6
CI_tb_14_leaf,13.6,209,1220,2910,24.0
CI_tb_15_leaf,15.2,141,1320,3640,29.1
CI_tb_16_leaf,6.60,132,1520,2560,12.4
CI_tb_17_leaf,7.42,387,1860,2130,39.0
CI_tb_18_leaf,13.6,158,2410,3440,26.1
CI_tb_19_leaf,11.7,200,2900,2550,23.6
CI_tb_20_leaf,13.0,579,2250,2230,21.4
CI_sb_01_leaf,8.88,305,1420,2140,22.6
CI_sb_02_leaf,13.8,308,2840,4210,52.9
CI_sb_03a_leaf,23.0,166,2570,2060,39.3
CI_sb_03b_leaf,14.7,56.0,1760,1880,35.1
CI_sb_04_leaf,15.3,414,2250,1060,42.0
CI_sb_05_leaf,21.9,164,3370,1680,60.7
CI_sb_06_leaf,17.2,274,3570,1840,68.0
CI_sb_07_leaf,9.18,80.6,4180,1950,39.2
CI_sb_08_leaf,14.6,46.0,4970,2780,33.6
CI_sb_09_leaf,15.0,177,4810,1850,48.7
CI_sb_10_leaf,13.7,84.3,4440,1380,34.4
CI_sb_11_leaf,6.47,151,4080,1790,17.9
CI_sb_12_leaf,11.5,215,3040,2140,39.3
CI_sb_13_leaf,11.0,165,2880,2460,30.0
CI_sb_14_leaf,13.6,145,3990,2680,31.3
CI_sb_15_leaf,20.5,314,3970,2790,39.2
CI_sb_16_leaf,19.1,325,5180,2950,40.0
CI_sb_17_leaf,22.6,154,4560,2510,40.9
CI_sb_18_leaf,19.0,360,3980,3090,48.5
CI_sb_19_leaf,12.5,375,1360,1440,49.0
CI_sb_20_leaf,13.2,496,1440,1520,43.7
CI_tb_01_leaf,11.3,114,1270,2090,15.5
CI_tb_20_leaf,14.6,576,1830,1970,19.1
CI_sb_01_leaf,11.9,323,1860,2160,24.7
CI_sb_20_leaf,18.1,835,2400,2090,62.1
BF_lo_01_leaf,11.8,157,2590,2700,27.6
BF_mo_01_leaf,6.99,101,676,943,10.1
BF_mo_20_leaf,7.41,187,731,1060,15.0
BF_lo_01_leaf,8.85,143,2140,2680,28.6
BF_lo_02_leaf,6.60,60.6,2110,1970,17.2
BF_lo_03_leaf,6.14,164,1530,1470,11.0
BF_lo_04_leaf,4.83,127,1340,1670,13.9
BF_lo_05_leaf,4.05,64.5,1770,1600,14.9
BF_lo_06_leaf,6.54,137,2020,1840,16.2
BF_lo_07_leaf,6.90,140,2240,1860,16.7
BF_lo_08_leaf,3.61,139,2370,1960,28.7
BF_lo_09_leaf,5.54,91.7,1820,2550,17.3
BF_lo_10_leaf,3.39,196,1240,2000,13.6
BF_lo_11_leaf,6.79,151,1380,1710,15.3
BF_lo_12_leaf,8.14,58.4,1360,2270,21.2
BF_lo_13_leaf,7.62,81.5,1410,1630,20.3
BF_lo_14_leaf,3.37,881,1840,1870,14.9
BF_lo_15_leaf,5.50,147,2060,1740,19.6
BF_lo_16_leaf,6.18,220,2260,1800,13.2
BF_lo_17_leaf,6.44,219,1550,1980,14.3
BF_lo_18_leaf,3.39,186,1390,1680,13.4
BF_lo_19_leaf,3.50,223,1230,1140,10.9
BF_lo_20_leaf,5.83,78.7,2160,1880,16.4
BF_mo_01_leaf,4.41,101,625,984,9.43
BF_mo_02_leaf,9.58,120,835,1290,18.8
BF_mo_03_leaf,4.63,298,908,1320,13.7
BF_mo_04_leaf,8.69,400,947,1530,14.6
BF_mo_05_leaf,3.74,307,911,1010,13.1
BF_mo_06_leaf,5.39,195,789,1040,17.8
BF_mo_07_leaf,7.84,90.9,784,1640,15.4
BF_mo_08_leaf,8.76,168,660,1860,16.9
BF_mo_09_leaf,8.80,212,846,2360,19.3
BF_mo_10_leaf,5.58,369,816,1270,13.4
BF_mo_11_leaf,4.06,108,792,941,10.2
BF_mo_12_leaf,4.86,389,862,2630,18.3
BF_mo_13_leaf,7.88,95.3,688,1530,19.7
BF_mo_14_leaf,9.36,52.1,827,3050,17.1
BF_mo_15_leaf,4.27,94.4,697,945,9.90
BF_mo_16_leaf,5.08,70.4,719,844,8.21
BF_mo_17_leaf,4.59,257,930,1390,12.9
BF_mo_18_leaf,6.07,217,1120,1350,16.6
BF_mo_19_leaf,5.82,165,1170,1510,13.5
BF_mo_20_leaf,3.78,174,730,969,13.1
CI_tb_01_leaf,9.34,121,1610,2270,16.7
CI_tb_20_leaf,10.2,659,1410,1840,16.0
CI_sb_01_leaf,9.39,320,2490,2350,23.2
CI_sb_20_leaf,15.1,258,3030,4140,39.8
BF_lo_01_leaf,8.42,142,2310,2640,24.9
BF_lo_20_leaf,5.90,77.6,1730,1870,16.2
BF_mo_01_leaf,5.10,117,739,1130,11.0
BF_mo_20_leaf,5.26,232,801,1290,17.3
