sample_ID,Al_396.153,Ca_317.933,Cu_324.754,Fe_238.204,Na_589.592,P_177.499,Zn_202.548
CI_tb_01_tuber_x1,479,254,10.5,40.6,1040,1140,18.1
CI_tb_02_tuber,485,296,4.50,25.3,1220,2130,7.97
CI_tb_03_tuber,440,321,4.90,17.0,1350,2150,7.96
CI_tb_04a_tuber,498,707,2.54,27.1,1750,1810,4.20
CI_tb_04b_tuber,453,208,1.59,14.5,1500,1690,6.07
CI_tb_05_tuber_x2,361,170,9.05,42.5,1350,1000,14.6
CI_tb_06_tuber_x3,447,192,7.87,20.5,1330,1110,13.4
CI_tb_07_tuber_x4,368,163,10.7,21.0,1130,1430,18.0
CI_tb_08_tuber_x5,406,157,10.0,22.0,1280,1310,18.6
CI_tb_09_tuber,567,163,3.52,23.6,1440,1510,14.9
CI_tb_10_tuber,613,267,8.29,22.0,2390,2860,9.68
CI_tb_11_tuber_x6,367,162,8.80,28.9,899,1320,17.3
CI_tb_12_tuber_x7,448,170,7.81,23.8,1530,1150,15.1
CI_tb_13_tuber,391,215,3.35,24.1,967,2010,6.81
CI_tb_14_tuber_x8,435,164,6.48,18.3,758,1140,13.1
CI_tb_15_tuber_x9,282,116,9.57,15.9,673,1270,15.2
CI_tb_16_tuber,286,224,6.98,15.3,572,1490,5.77
CI_tb_18_tuber,325,204,9.55,16.2,711,2420,9.20
CI_tb_19_tuber,211,126,2.83,8.34,575,1330,4.76
CI_tb_20_tuber,274,132,4.53,10.7,654,1900,7.44
CI_sb_01_tuber,599,853,3.90,41.2,1050,1410,3.31
CI_sb_02_tuber_x1,285,297,6.11,15.3,754,1300,9.34
CI_sb_03b_tuber,539,269,8.76,13.0,868,766,6.95
CI_sb_04_tuber,566,274,10.2,33.4,1010,2530,9.99
CI_sb_05_tuber,287,218,5.66,14.9,698,913,7.72
CI_sb_06_tuber,620,447,11.6,21.4,1190,1560,13.2
CI_sb_07_tuber,382,275,5.86,17.1,738,1530,8.41
CI_sb_08_tuber,258,163,4.22,10.5,568,715,7.03
CI_sb_09_tuber,241,264,5.29,12.1,630,1080,5.47
CI_sb_10_tuber,380,239,6.21,17.2,747,1100,7.25
CI_sb_11_tuber,246,179,4.17,9.17,791,2030,7.54
CI_sb_12_tuber,262,258,2.60,10.4,830,1250,7.27
CI_sb_13_tuber,224,176,3.05,8.23,671,894,5.07
CI_sb_14_tuber,350,217,3.16,16.0,856,1140,5.69
CI_sb_15_tuber_x2,307,280,5.97,13.0,773,1010,10.5
CI_sb_16_tuber_x3,373,279,11.7,16.9,917,1430,13.0
CI_sb_17_tuber,375,373,7.66,15.4,972,1950,7.76
CI_sb_18_tuber,294,274,4.32,9.56,772,1600,6.04
CI_sb_19_tuber_x4,286,211,2.20,14.8,822,2140,6.59
CI_sb_20_tuber_x5,277,292,6.59,14.6,786,1400,10.8
CI_tb_01_tuber_x1,501,258,11.3,33.7,1170,1180,19.4
CI_tb_20_tuber,307,138,4.51,11.1,705,1910,7.31
CI_sb_01_tuber,358,584,2.05,26.9,620,1010,2.05
CI_sb_20_tuber_x5,213,235,5.12,13.0,552,1210,9.22
BF_lo_01_tuber_x1,236,278,5.53,14.5,622,1440,10.7
BF_lo_20_tuber_x20,222,91.9,4.49,81.8,587,1080,8.39
BF_mo_01_tuber_x1,267,235,3.43,16.6,772,962,7.10
BF_mo_20_tuber,369,485,3.62,81.0,1360,1180,17.2
BF_lo_01_tuber_x1,207,267,5.30,13.6,548,1410,10.2
BF_lo_02_tuber_x2,263,317,7.63,14.3,710,1580,11.4
BF_lo_03_tuber,276,623,6.41,313,746,1990,16.9
BF_lo_03_tuber_x3,199,175,2.36,10.1,601,1070,6.77
BF_lo_04_tuber_x4,223,211,3.79,10.8,665,875,7.68
BF_lo_05_tuber_x5,231,279,4.33,11.2,751,1300,9.32
BF_lo_06_tuber_x6,234,382,3.18,10.5,798,1340,9.85
BF_lo_07_tuber,309,1160,5.66,,965,2230,89.0
BF_lo_07_tuber_x7,257,251,2.43,23.1,889,938,5.10
BF_lo_08_tuber_x8,309,370,3.80,12.1,1070,1150,7.17
BF_lo_09_tuber_x9,443,413,7.52,24.6,1380,2000,8.14
BF_lo_10_tuber,380,563,3.01,89.2,1150,2150,19.7
BF_lo_10_tuber_x10,320,446,6.07,10.6,1170,762,4.83
BF_lo_11_tuber_x11,346,232,8.74,26.3,1190,822,14.5
BF_lo_11_tuber,367,1040,8.09,130,968,3000,28.1
BF_lo_12_tuber,275,2650,10.6,75.9,971,4930,36.2
BF_lo_12_tuber_x12,240,126,7.67,13.4,818,1170,10.8
BF_lo_13_tuber_x13,308,140,6.89,10.2,1060,1380,8.77
BF_lo_13_tuber,370,1360,9.18,199,1130,2750,27.1
BF_lo_14_tuber_x14,275,183,9.40,16.2,936,820,12.3
BF_lo_15_tuber_x15,318,127,7.78,18.7,923,1550,11.3
BF_lo_16_tuber,275,419,5.77,235,837,1960,37.5
BF_lo_16_tuber_x16,432,137,11.1,19.3,885,1380,16.4
BF_lo_17_tuber_x17,255,126,7.77,10.8,718,1220,10.5
BF_lo_18_tuber_x18,233,99.6,5.41,16.0,636,1170,11.2
BF_lo_19_tuber_x19,158,84.9,5.89,11.5,426,681,7.41
BF_mo_02_tuber_x2,228,358,2.54,12.2,703,799,5.07
BF_mo_03_tuber_x3,264,324,5.61,15.0,793,1280,8.58
BF_mo_04_tuber_x4,255,279,5.95,9.30,888,1020,7.71
BF_mo_05_tuber,304,485,3.10,73.4,952,1300,16.7
BF_mo_05_tuber_x5,239,167,2.41,9.32,800,853,4.33
BF_mo_06_tuber,344,730,12.6,130,915,2160,20.3
BF_mo_06_tuber_x6,273,198,4.99,11.6,1040,1220,7.54
BF_mo_07_tuber,366,281,5.34,90.3,1230,1310,13.3
BF_mo_07_tuber_x7,317,261,4.00,11.4,1280,911,5.03
BF_mo_08_tuber_x8,305,227,3.62,15.5,1120,905,6.46
BF_mo_09_tuber_x9,297,162,9.68,14.3,954,617,11.7
BF_mo_10_tuber_x10,335,125,4.04,10.9,895,1060,6.26
BF_mo_10_tuber,345,861,7.49,91.6,1090,2510,23.4
BF_mo_11_tuber,379,599,5.59,208,1330,1570,16.1
BF_mo_11_tuber_x11,322,139,4.42,9.64,1300,1140,8.18
BF_mo_12_tuber,352,890,3.33,65.2,1420,2780,19.2
BF_mo_12_tuber_x12,351,135,9.38,13.8,1270,1100,14.2
BF_mo_13_tuber_x13,222,114,4.17,8.80,716,1000,6.52
BF_mo_13_tuber,270,604,2.96,86.0,894,1460,15.1
BF_mo_20_tuber,287,432,3.00,71.9,941,1090,15.6
CI_tb_01_tuber_x1,380,210,9.09,26.7,982,1000,15.5
CI_tb_20_tuber,323,153,4.70,11.5,887,2030,8.10
CI_sb_01_tuber,478,593,2.13,28.1,693,1030,2.13
CI_sb_20_tuber_x5,195,224,4.85,12.6,497,1190,8.87
BF_lo_01_tuber_x1,206,260,4.76,13.7,545,1360,9.63
BF_lo_20_tuber_x20,213,95.5,4.32,59.3,587,1100,8.44
BF_mo_01_tuber_x1,230,221,2.93,15.2,723,937,6.70
BF_mo_20_tuber,388,548,3.90,91.9,1380,1320,19.2
