sample_ID,K_766.490,Mg_279.553
CI_tb_01_tuber_x1,9310,826
CI_tb_02_tuber,15100,675
CI_tb_03_tuber,14500,638
CI_tb_04a_tuber,13000,854
CI_tb_04b_tuber,13300,566
CI_tb_05_tuber_x2,9460,725
CI_tb_06_tuber_x3,11700,835
CI_tb_07_tuber_x4,10300,805
CI_tb_08_tuber_x5,10200,837
CI_tb_09_tuber,9640,486
CI_tb_10_tuber,20300,873
CI_tb_11_tuber_x6,9960,644
CI_tb_12_tuber_x7,9430,573
CI_tb_13_tuber,16400,614
CI_tb_14_tuber_x8,8590,724
CI_tb_15_tuber_x9,10100,710
CI_tb_16_tuber,10600,909
CI_tb_18_tuber,14600,822
CI_tb_19_tuber,10100,388
CI_tb_20_tuber,17100,620
CI_sb_01_tuber,14400,575
CI_sb_02_tuber_x1,14900,789
CI_sb_03b_tuber,13100,579
CI_sb_04_tuber,26300,861
CI_sb_05_tuber,14700,540
CI_sb_06_tuber,15300,1020
CI_sb_07_tuber,12500,619
CI_sb_08_tuber,13300,448
CI_sb_09_tuber,13700,684
CI_sb_10_tuber,10700,461
CI_sb_11_tuber,11500,554
CI_sb_12_tuber,9010,600
CI_sb_13_tuber,10900,444
CI_sb_14_tuber,8860,402
CI_sb_15_tuber_x2,11500,538
CI_sb_16_tuber_x3,18900,891
CI_sb_17_tuber,11000,771
CI_sb_18_tuber,9650,528
CI_sb_19_tuber_x4,20400,982
CI_sb_20_tuber_x5,12900,769
CI_tb_01_tuber_x1,9530,821
CI_tb_20_tuber,16800,608
CI_sb_01_tuber,11600,439
CI_sb_20_tuber_x5,12000,676
BF_lo_01_tuber_x1,14400,512
BF_lo_20_tuber_x20,8000,511
BF_mo_01_tuber_x1,9520,405
BF_mo_20_tuber,14400,871
BF_lo_01_tuber_x1,14200,506
BF_lo_02_tuber_x2,16300,641
BF_lo_03_tuber,16700,1130
BF_lo_03_tuber_x3,15100,567
BF_lo_04_tuber_x4,13800,575
BF_lo_05_tuber_x5,16500,658
BF_lo_06_tuber_x6,15500,595
BF_lo_07_tuber,21500,1850
BF_lo_07_tuber_x7,9520,444
BF_lo_08_tuber_x8,12700,510
BF_lo_09_tuber_x9,15600,650
BF_lo_10_tuber,23600,1350
BF_lo_10_tuber_x10,14800,774
BF_lo_11_tuber_x11,12600,652
BF_lo_11_tuber,26800,1850
BF_lo_12_tuber,29300,3180
BF_lo_12_tuber_x12,6840,421
BF_lo_13_tuber_x13,7780,358
BF_lo_13_tuber,23500,1880
BF_lo_14_tuber_x14,8420,611
BF_lo_15_tuber_x15,9130,569
BF_lo_16_tuber,15100,1130
BF_lo_16_tuber_x16,9730,647
BF_lo_17_tuber_x17,9630,543
BF_lo_18_tuber_x18,10100,633
BF_lo_19_tuber_x19,8900,564
BF_lo_20_tuber_x20,7980,513
BF_mo_01_tuber_x1,9880,415
BF_mo_02_tuber_x2,10200,466
BF_mo_03_tuber_x3,10500,529
BF_mo_04_tuber_x4,12800,573
BF_mo_05_tuber,13900,784
BF_mo_05_tuber_x5,10000,382
BF_mo_06_tuber,20400,1410
BF_mo_06_tuber_x6,11700,515
BF_mo_07_tuber,13500,1010
BF_mo_07_tuber_x7,11200,511
BF_mo_08_tuber_x8,11400,513
BF_mo_09_tuber_x9,10100,529
BF_mo_10_tuber_x10,7550,482
BF_mo_10_tuber,23400,1710
BF_mo_11_tuber,13000,1060
BF_mo_11_tuber_x11,9320,483
BF_mo_12_tuber,18500,1040
BF_mo_12_tuber_x12,8750,572
BF_mo_13_tuber_x13,9500,458
BF_mo_13_tuber,15600,1040
BF_mo_20_tuber,15400,930
CI_tb_01_tuber_x1,851,
CI_tb_20_tuber,652,
CI_sb_01_tuber,411,
CI_sb_20_tuber_x5,693,
BF_lo_01_tuber_x1,439,
BF_lo_20_tuber_x20,516,
BF_mo_01_tuber_x1,404,
